Date: 2007-07-01 00:00:00, Count: 90
Date: 2009-01-01 00:00:00, Count: 324
Date: 2011-06-01 00:00:00, Count: 679
Date: 2011-09-01 00:00:00, Count: 207
Date: 2012-06-01 00:00:00, Count: 253
Date: 2012-09-01 00:00:00, Count: 394
Date: 2012-11-01 00:00:00, Count: 269
Date: 2013-06-01 00:00:00, Count: 2496
Date: 2013-08-01 00:00:00, Count: 407
Date: 2013-11-01 00:00:00, Count: 574
Date: 2014-02-01 00:00:00, Count: 737
Date: 2014-03-01 00:00:00, Count: 1285
Date: 2015-06-01 00:00:00, Count: 666
Date: 2018-06-01 00:00:00, Count: 807
Date: 2019-01-01 00:00:00, Count: 106
Date: 2019-04-01 00:00:00, Count: 708
Date: 2019-05-01 00:00:00, Count: 568
Date: 2019-06-01 00:00:00, Count: 1011
Date: 2019-11-01 00:00:00, Count: 250
Date: 2020-03-01 00:00:00, Count: 885
Date: 2020-04-01 00:00:00, Count: 590
Date: 2020-05-01 00:00:00, Count: 436
Date: 2020-06-01 00:00:00, Count: 310
Date: 2020-07-01 00:00:00, Count: 819
Date: 2020-11-01 00:00:00, Count: 530
Date: 2020-12-01 00:00:00, Count: 371
Date: 2021-03-01 00:00:00, Count: 822
Date: 2021-07-01 00:00:00, Count: 1175
Date: 2021-08-01 00:00:00, Count: 1023
Date: 2021-10-01 00:00:00, Count: 601
Date: 2021-11-01 00:00:00, Count: 1217
Date: 2021-12-01 00:00:00, Count: 910
Date: 2022-01-01 00:00:00, Count: 374
Date: 2022-09-01 00:00:00, Count: 246
Date: 2022-12-01 00:00:00, Count: 425
Date: 2023-02-01 00:00:00, Count: 4407
Date: 2023-03-01 00:00:00, Count: 1150
Date: 2023-04-01 00:00:00, Count: 1277
Date: 2023-05-01 00:00:00, Count: 2423
Date: 2023-12-01 00:00:00, Count: 503
Date: 2024-03-01 00:00:00, Count: 658
Date: 2024-04-01 00:00:00, Count: 663
Date: 2024-06-01 00:00:00, Count: 167
Date: 2024-07-01 00:00:00, Count: 545
